id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,2018-07-22,1.57,1,0
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,2019-06-28,1.46,2,137
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,118971,Evelyn,Brooklyn,South Slope,40.66552,-73.99019,Entire home/apt,169,2,398,2019-06-28,3.97,3,182
135465,Garden apartment close to Manhattan,663879,Christopher,Brooklyn,Fort Greene,40.68626,-73.97598,Entire home/apt,170,3,86,2019-06-20,0.91,2,286
169002,Modern Space in Charming Pre-war,805344,Alec,Manhattan,Harlem,40.82411,-73.94934,Private room,65,2,41,2019-06-16,0.43,2,59
219482,A Cozy Brooklyn Hideaway,759583,Pepe,Brooklyn,Clinton Hill,40.68275,-73.96148,Entire home/apt,172,4,8,2017-10-14,0.09,2,189
233662,Large Sunny Luxe Prvt Room/Midtown,1223568,Tiffany,Manhattan,Midtown,40.75575,-73.96842,Private room,110,2,61,2019-05-18,0.65,1,264
256369,Alchemy BnB - room in artist loft,1348494,Pamela,Brooklyn,Cobble Hill,40.68946,-73.99385,Private room,98,4,216,2019-07-01,2.31,1,288
261781,1500+ sq ft 2BR West Village Loft,1359519,Nadya,Manhattan,West Village,40.73378,-74.00429,Entire home/apt,375,7,8,2017-12-30,0.12,1,0
265145,Studio sublet in Hell's kitchen,1390947,Akiko,Manhattan,Theater District,40.76217,-73.98411,Entire home/apt,200,5,8,2015-01-08,0.09,1,0
266155,One bed suite with private garden,1385157,Brian,Manhattan,Upper West Side,40.78304,-73.97447,Entire home/apt,167,30,16,2019-03-31,0.17,5,252
292266,Sunny and spacious bedroom,1513294,Urszula,Brooklyn,Bushwick,40.69755,-73.91187,Private room,50,60,17,2019-04-01,0.19,2,74
310220,Prime location! Backyard & outdoor shower! Unique!,1590548,Magdalena,Brooklyn,Greenpoint,40.72668,-73.95762,Private room,149,14,65,2018-12-30,0.73,1,364
319844,Cute Room in Historic Loft!,1639884,Nora,Brooklyn,Greenpoint,40.73028,-73.95927,Private room,79,14,22,2019-05-02,0.25,1,268
421554,Garden - Brownstone Experience,2096690,Richard,Brooklyn,Bedford-Stuyvesant,40.68559,-73.93896,Entire home/apt,250,15,37,2016-10-30,0.52,2,54
424930,2BR Lux Prospect Heights,905122,Supriya,Brooklyn,Crown Heights,40.6764,-73.96218,Entire home/apt,130,28,5,2015-10-06,0.06,1,196
435909,Sunny West Village Dream,2165401,Andrew,Manhattan,West Village,40.73775,-74.00344,Entire home/apt,151,88,19,2016-12-24,0.22,1,249
