RA,pontuacao,tempo_obstaculo,tempo_total,device
21505616,2,12.44,12.44,skate
21505616,13,42.01,54.45,skate
21505616,26,49.09,103.54,skate
32143621,0,5.45,5.45,skate
32143621,3,13.99,19.44,skate
32143621,5,10.51,29.94,skate
32229011,2,12.46,12.46,skate
32229011,2,3.5,15.96,skate
32229011,2,3.48,19.44,skate
32345224,5,22.95,22.95,skate
32345224,11,24.5,47.45,skate
32345224,35,87.52,134.97,skate
32372558,1,8.95,8.95,skate
32372558,3,10.5,19.45,skate
32372558,4,6.98,26.43,skate
32397739,1,9.32,9.32,skate
32397739,1,3.68,13.0,skate
32397739,1,2.94,15.94,skate
42133017,1,8.93,8.94,skate
42133017,5,17.52,26.46,skate
42133017,5,3.47,29.93,skate
42143659,9,37.13,37.13,skate
42143659,30,76.81,113.93,skate
42143659,33,14.02,127.95,skate
42144914,5,22.94,22.94,skate
42144914,5,3.5,26.44,skate
42144914,6,7.03,33.46,skate
42280915,2,12.44,12.44,skate
42280915,2,3.52,15.96,skate
42280915,2,3.49,19.44,skate
42303885,2,12.45,12.45,skate
42303885,8,25.2,37.65,skate
42303885,10,9.8,47.45,skate
42306728,0,5.44,5.44,skate
42306728,3,14.01,19.45,skate
42306728,4,7.0,26.45,skate
32150989,0,5.44,5.45,skate
32150989,7,28.01,33.46,skate
32150989,9,10.49,43.96,skate
32166532,4,19.44,19.44,skate
32166532,6,10.5,29.95,skate
32166532,8,10.51,40.46,skate
42145651,0,5.47,5.48,skate
42145651,0,3.47,8.95,skate
42145651,3,14.0,22.95,skate
42310474,1,8.94,8.94,skate
42310474,3,10.51,19.45,skate
42310474,3,3.5,22.95,skate
42370280,1,8.94,8.94,skate
42370280,8,28.01,36.95,skate
42370280,15,28.02,64.96,skate
42370450,1,8.95,8.95,skate
42370450,9,31.51,40.45,skate
42370450,9,3.49,43.94,skate
42370736,2,12.47,12.47,skate
42370736,3,6.98,19.45,skate
42370736,3,3.5,22.95,skate
32255659,1,8.95,8.96,skate
32255659,1,3.51,12.47,skate
32255659,1,3.5,15.97,skate
32347286,4,20.03,20.03,skate
32347286,6,9.93,29.96,skate
32347286,8,10.51,40.46,skate
32093667,1,8.95,8.95,skate
32093667,1,3.5,12.45,skate
32093667,1,3.5,15.95,skate
32123655,0,5.44,5.44,skate
32123655,0,3.5,8.94,skate
32123655,1,7.0,15.94,skate
32132646,1,8.94,8.94,skate
32132646,5,17.49,26.44,skate
32132646,11,24.5,50.94,skate
32152922,0,6.07,6.07,skate
32152922,2,9.87,15.95,skate
32152922,3,7.0,22.95,skate
32244355,1,8.95,8.95,skate
32244355,1,3.48,12.44,skate
32244355,4,14.0,26.44,skate
32245726,0,5.45,5.45,skate
32245726,0,3.49,8.94,skate
32245726,2,10.51,19.45,skate
42008875,4,19.45,19.45,skate
42008875,4,3.5,22.96,skate
42008875,13,35.42,58.38,skate
42130581,0,5.45,5.45,skate
42130581,5,21.0,26.46,skate
42130581,9,17.5,43.96,skate
42218772,0,5.45,5.45,skate
42218772,2,10.51,15.96,skate
42218772,2,3.47,19.43,skate
42308577,3,15.94,15.94,skate
42308577,6,14.0,29.95,skate
42308577,10,17.51,47.45,skate
42322189,1,8.94,8.94,skate
42322189,1,3.51,12.45,skate
42322189,1,3.51,15.95,skate
23513365,0,5.45,5.46,skate
23513365,2,10.5,15.95,skate
23513365,2,3.49,19.45,skate
32070837,3,15.96,15.96,skate
32070837,4,7.0,22.96,skate
32070837,4,4.01,26.98,skate
32318014,0,5.43,5.43,skate
32318014,0,3.51,8.94,skate
32318014,1,7.26,16.2,skate
32339811,3,15.95,15.95,skate
32339811,8,21.0,36.95,skate
32339811,25,62.99,99.94,skate
32384033,2,12.55,12.55,skate
32384033,3,6.91,19.46,skate
32384033,22,70.0,89.45,skate
41911296,2,12.45,12.45,skate
41911296,2,3.99,16.43,skate
41911296,2,3.03,19.46,skate
42304393,1,8.96,8.96,skate
42304393,3,10.48,19.44,skate
42304393,5,10.51,29.95,skate
42307171,6,26.44,26.45,skate
42307171,21,56.41,82.85,skate
42307171,27,24.11,106.96,skate
42311802,0,5.45,5.45,skate
42311802,2,10.5,15.95,skate
42311802,2,4.01,19.95,skate
21505616,0,5.73,5.73,joystick
