RA,device,Positive_Experience,Negative_Experience,Tiredness,Returning_to_Reality
21505616,joystick,5.0,1.3333333333333333,1.0,2.3333333333333335
21505616,keyboard,4.666666666666667,2.0,1.0,2.3333333333333335
21505616,skate,3.1666666666666665,2.8333333333333335,1.0,1.6666666666666667
23513365,joystick,5.0,1.0,1.0,2.3333333333333335
23513365,keyboard,5.0,1.0,1.0,2.3333333333333335
23513365,skate,4.166666666666667,1.6666666666666667,1.0,2.3333333333333335
32070837,joystick,2.5,1.6666666666666667,1.0,1.6666666666666667
32070837,keyboard,2.5,1.5,1.5,2.3333333333333335
32070837,skate,3.1666666666666665,1.6666666666666667,1.0,2.0
32093667,joystick,5.0,1.0,1.0,3.0
32093667,keyboard,4.833333333333333,1.0,1.0,3.0
32093667,skate,3.6666666666666665,1.5,1.0,3.0
32123655,joystick,4.0,1.0,1.0,2.3333333333333335
32123655,keyboard,3.6666666666666665,1.0,1.0,3.3333333333333335
32123655,skate,3.0,1.6666666666666667,1.0,2.0
32132646,joystick,2.5,1.1666666666666667,1.0,2.3333333333333335
32132646,keyboard,2.5,1.3333333333333333,1.0,1.6666666666666667
32132646,skate,4.5,1.0,1.0,2.6666666666666665
32143621,joystick,3.0,1.3333333333333333,1.0,1.6666666666666667
32143621,keyboard,3.0,1.3333333333333333,1.0,1.6666666666666667
32143621,skate,2.6666666666666665,2.0,1.0,2.6666666666666665
32150989,joystick,5.0,1.0,1.0,2.3333333333333335
32150989,keyboard,5.0,1.0,1.0,3.6666666666666665
32150989,skate,5.0,1.1666666666666667,1.0,3.6666666666666665
32152922,joystick,2.8333333333333335,1.5,1.0,1.0
32152922,keyboard,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333
32152922,skate,3.8333333333333335,1.6666666666666667,1.0,2.0
32166532,joystick,4.0,1.3333333333333333,1.5,1.3333333333333333
32166532,keyboard,2.3333333333333335,1.1666666666666667,1.0,1.3333333333333333
32166532,skate,5.0,1.1666666666666667,1.5,2.3333333333333335
32229011,joystick,4.0,1.0,1.0,1.3333333333333333
32229011,keyboard,4.0,1.0,1.0,1.3333333333333333
32229011,skate,3.3333333333333335,1.8333333333333333,1.0,1.6666666666666667
32233019,joystick,1.8333333333333333,1.5,1.0,1.0
32244355,joystick,1.6666666666666667,1.0,1.0,1.0
32244355,keyboard,2.8333333333333335,1.0,1.0,1.0
32244355,skate,2.6666666666666665,1.5,1.0,1.3333333333333333
32245726,joystick,3.5,1.0,1.0,2.0
32245726,keyboard,3.3333333333333335,1.1666666666666667,1.0,2.3333333333333335
32245726,skate,3.6666666666666665,1.5,1.0,2.6666666666666665
32255659,joystick,1.3333333333333333,1.5,1.0,1.0
32255659,keyboard,1.1666666666666667,1.6666666666666667,1.0,1.0
32255659,skate,2.6666666666666665,1.5,1.0,1.6666666666666667
32318014,joystick,3.3333333333333335,1.3333333333333333,1.0,1.0
32318014,keyboard,3.5,1.3333333333333333,1.0,1.0
32318014,skate,3.5,1.6666666666666667,1.0,1.6666666666666667
32339811,joystick,5.0,2.1666666666666665,1.5,2.6666666666666665
