Carimbo de data/hora,RA,Data de nascimento,Gênero,Frequência que anda de skate,Frequência que usa jogos de computador,Frequência que usa jogos de console (Xbox / Playstation / Wii),Frequência que usa jogos em dispositivos móveis (smartphone e/ou tablet),Gênero de jogo preferido
2023-08-21 16:47:52.279,42118816,2003-06-07,Feminino,Nunca,Regularmente (algumas vezes por semana),Regularmente (algumas vezes por semana),Nunca,"Ação e aventura, RPG, Simulação, Corrida, Estratégia"
2023-08-22 13:49:56.703,42145333,2000-11-26,Masculino,Raramente (algumas vezes por ano),Regularmente (algumas vezes por semana),Raramente (algumas vezes por ano),Regularmente (algumas vezes por semana),"Ação e aventura, RPG, Estratégia"
2023-08-22 14:15:17.455,42326321,2004-11-29,Masculino,Nunca,Ocasionalmente (algumas vezes por mês),Raramente (algumas vezes por ano),Raramente (algumas vezes por ano),Esporte
2023-08-22 14:40:49.151,32339623,2004-07-13,Masculino,Nunca,Frequente (todos os dias),Regularmente (algumas vezes por semana),Raramente (algumas vezes por ano),"Ação e aventura, RPG, Estratégia, MOBA"
2023-08-22 15:08:53.471,42305535,2005-09-09,Masculino,Nunca,Ocasionalmente (algumas vezes por mês),Nunca,Ocasionalmente (algumas vezes por mês),RPG
2023-08-22 15:28:55.559,42308720,2004-06-01,Masculino,Nunca,Frequente (todos os dias),Ocasionalmente (algumas vezes por mês),Regularmente (algumas vezes por semana),"Ação e aventura, Simulação, Estratégia, MOBA E FPS"
2023-09-04 11:25:57.385,32229011,2004-05-19,Masculino,Raramente (algumas vezes por ano),Frequente (todos os dias),Raramente (algumas vezes por ano),Ocasionalmente (algumas vezes por mês),"Simulação, Estratégia, FPS"
2023-09-04 11:47:50.120,32345224,2004-07-14,Masculino,Raramente (algumas vezes por ano),Frequente (todos os dias),Ocasionalmente (algumas vezes por mês),Regularmente (algumas vezes por semana),"RPG, Puzzle, Estratégia"
2023-09-04 13:04:00.024,32143621,2003-12-13,Feminino,Nunca,Ocasionalmente (algumas vezes por mês),Regularmente (algumas vezes por semana),Raramente (algumas vezes por ano),"RPG, Puzzle, Estratégia"
2023-09-04 13:21:49.827,42306728,2004-04-12,Feminino,Nunca,Raramente (algumas vezes por ano),Nunca,Ocasionalmente (algumas vezes por mês),"Ação e aventura, Estratégia"
2023-09-04 13:45:10.452,42133017,2000-10-20,Masculino,Nunca,Frequente (todos os dias),Raramente (algumas vezes por ano),Nunca,"Ação e aventura, RPG, Puzzle, Simulação, Corrida, Esporte, Estratégia"
2023-09-04 14:36:24.060,42144914,2003-03-18,Masculino,Raramente (algumas vezes por ano),Frequente (todos os dias),Nunca,Regularmente (algumas vezes por semana),"Ação e aventura, RPG, Estratégia"
