Entity,Code,Year,Global average temperature anomaly relative to 1961-1990,Upper bound of the annual temperature anomaly (95% confidence interval),Lower bound of the annual temperature anomaly (95% confidence interval)
Global,,1850,-0.4177114,-0.2461663,-0.58925647
Global,,1851,-0.2333498,-0.054831687,-0.41186792
Global,,1852,-0.22939907,-0.04941572,-0.40938243
Global,,1853,-0.27035445,-0.110699534,-0.43000934
Global,,1854,-0.29152083,-0.15033019,-0.4327115
Global,,1855,-0.29691675,-0.15451474,-0.43931878
Global,,1856,-0.32035372,-0.1726142,-0.46809322
Global,,1857,-0.46723005,-0.31813794,-0.61632216
Global,,1858,-0.3887657,-0.24064532,-0.53688604
Global,,1859,-0.28126517,-0.1386095,-0.42392084
Global,,1860,-0.39016518,-0.24135375,-0.5389766
Global,,1861,-0.42911294,-0.26122484,-0.597001
Global,,1862,-0.5363694,-0.3690788,-0.70365995
Global,,1863,-0.34424406,-0.15445141,-0.53403676
Global,,1864,-0.46546507,-0.28283712,-0.64809304
Global,,1865,-0.33248132,-0.14050578,-0.5244569
Global,,1866,-0.3412875,-0.16077414,-0.5218009
Global,,1867,-0.35699412,-0.16096504,-0.5530232
Global,,1868,-0.35182714,-0.1741756,-0.5294787
Global,,1869,-0.31659195,-0.15672056,-0.47646335
Global,,1870,-0.32792753,-0.18715557,-0.46869946
Global,,1871,-0.36856276,-0.22299235,-0.51413316
Global,,1872,-0.32811058,-0.19305114,-0.46317002
Global,,1873,-0.3412969,-0.21009217,-0.47250164
Global,,1874,-0.3732512,-0.2393598,-0.5071426
Global,,1875,-0.37562594,-0.23721085,-0.514041
Global,,1876,-0.4241099,-0.28534868,-0.56287116
Global,,1877,-0.10110884,0.02760234,-0.22982001
Global,,1878,-0.011315192,0.1085822,-0.13121258
Global,,1879,-0.30363432,-0.1732043,-0.43406436
Global,,1880,-0.31583205,-0.19151321,-0.44015092
Global,,1881,-0.23224552,-0.10655606,-0.35793498
Global,,1882,-0.29553008,-0.17091006,-0.4201501
Global,,1883,-0.3464744,-0.23213112,-0.4608177
Global,,1884,-0.49232006,-0.38197154,-0.6026686
Global,,1885,-0.47112358,-0.35917896,-0.5830682
Global,,1886,-0.42090362,-0.31926903,-0.5225382
Global,,1887,-0.49878576,-0.38101166,-0.61655986
Global,,1888,-0.37937889,-0.265434,-0.49332377
Global,,1889,-0.24989556,-0.12757017,-0.37222093
Global,,1890,-0.50685817,-0.3813068,-0.6324095
Global,,1891,-0.40131494,-0.26525998,-0.5373699
Global,,1892,-0.5075585,-0.3707885,-0.64432853
Global,,1893,-0.49461922,-0.35770702,-0.6315314
Global,,1894,-0.48376393,-0.34195974,-0.6255681
Global,,1895,-0.4487516,-0.3154826,-0.58202064
Global,,1896,-0.28400728,-0.15061307,-0.41740146
Global,,1897,-0.25980017,-0.12107606,-0.39852425
Global,,1898,-0.48579213,-0.35393503,-0.6176492
Global,,1899,-0.35543364,-0.22447036,-0.48639694
Global,,1900,-0.2344939,-0.1025179,-0.3664699
Global,,1901,-0.29341024,-0.15855433,-0.42826617
Global,,1902,-0.43895653,-0.3046049,-0.57330817
Global,,1903,-0.5332871,-0.40852055,-0.65805364
Global,,1904,-0.59751105,-0.47006598,-0.72495615
Global,,1905,-0.40779322,-0.2851569,-0.53042954
Global,,1906,-0.31910878,-0.19329198,-0.4449256
Global,,1907,-0.5040763,-0.38819233,-0.61996025
Global,,1908,-0.5138197,-0.39752448,-0.6301149
Global,,1909,-0.53568715,-0.42751858,-0.64385575
Global,,1910,-0.5309095,-0.4163476,-0.6454714
Global,,1911,-0.539079,-0.42710155,-0.6510565
Global,,1912,-0.47553864,-0.37275177,-0.5783255
Global,,1913,-0.4670111,-0.3568033,-0.5772189
Global,,1914,-0.26243657,-0.15486072,-0.37001243
Global,,1915,-0.19167219,-0.07413985,-0.30920455
Global,,1916,-0.42002314,-0.2947124,-0.5453339
Global,,1917,-0.5428197,-0.40839645,-0.67724293
Global,,1918,-0.4243641,-0.28244856,-0.56627965
Global,,1919,-0.32528907,-0.18691428,-0.46366385
Global,,1920,-0.29835507,-0.16562946,-0.4310807
Global,,1921,-0.24044435,-0.11637985,-0.36450884
Global,,1922,-0.3390137,-0.22834438,-0.449683
Global,,1923,-0.31768188,-0.20929964,-0.4260641
Global,,1924,-0.3118017,-0.2031921,-0.4204113
Global,,1925,-0.28214198,-0.16933253,-0.39495143
Global,,1926,-0.122555,-0.014262918,-0.23084709
Global,,1927,-0.2291136,-0.12602946,-0.33219776
Global,,1928,-0.20646581,-0.09549474,-0.31743687
Global,,1929,-0.39244303,-0.28202602,-0.50286
Global,,1930,-0.17680542,-0.06319938,-0.29041144
Global,,1931,-0.103397675,0.0058962516,-0.2126916
Global,,1932,-0.14546171,-0.03896824,-0.25195518
Global,,1933,-0.32234442,-0.21758842,-0.4271004
